url,name,category,what_you_learn,skills,language,instructors,content
https://www.coursera.org/learn/-network-security,Network Security,Information Technology,,"Computer Networking, Network Planning And Design, TCP/IP, Threat Detection, Cyber Attacks, General Networking, Encryption, Threat Management, Network Protocols, Firewall, Cloud Computing, Network Security, Cybersecurity, Data Centers, Infrastructure Security",English,['~31081695'],"Welcome to course 4 of 5 of this Specialization, Network Security.In this course, we will look at computer networking and securing the network. In today’s world, the internet connects nearly everyone and everything, and this is accomplished through networking. While most see computer networking as a positive, criminals routinely use the internet, and the networking protocols themselves, as weapons and tools to exploit vulnerabilities and for this reason we must do our best to secure the network. We will review the basic components of a network, threats and attacks to the network, and learn how to protect them from attackers. Network security itself can be a specialty career within cybersecurity; however, all information security professionals need to understand how networks operate and are exploited to better secure them. 

After completing this chapter, the participant will be able to: 

Explain the concepts of network security. 

- Recognize common networking terms and models. 
- Identify common protocols and ports and their secure counterparts. 
- Identify types of network (cyber) threats and attacks. 
- Discuss common tools used to identify and prevent threats. 
- Identify common data center terminology. 
- Recognize common cloud service terminology. 
- Identify secure network design terminology. 
- Practice the terminology of and review network security concepts. 

Agenda

Course Introduction
Module 1: Network Concepts and Models 
Module 2: Common Network Threats and Attacks
Module 3: Network Security Infrastructure
Module 4: Network Security Review

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required."
https://www.coursera.org/learn/-security-principles,Security Principles,Information Technology,,"Cyber Security Policies, Data Integrity, Cybersecurity, Security Controls, Governance, Security Awareness, Cyber Risk, Risk Management Framework, Information Assurance, Cyber Governance, Data Ethics",English,['~31081695'],"Welcome to course 1 of 5 of this Specialization, Security Principles.After completing this course, the participant will be able to: 

Discuss the foundational concepts of cybersecurity principles.

- Recognize foundational security concepts of information assurance.
- Define risk management terminology and summarize the process.
- Relate risk management to personal or professional practices.
- Classify types of security controls.
- Distinguish between policies, procedures, standards, regulations and laws.
- Demonstrate the relationship among governance elements.
- Analyze appropriate outcomes according to the canons of the ISC2 Code of Ethics when given examples.
- Practice the terminology and review security principles.

Agenda

Course Introduction
Module 1: Information Assurance 
Module 2: Risk Management Process 
Module 3: Security Controls
Module 4: Governance
Module 5: ISC2 Code of Ethics
Module 6: Course Summary

This training is for IT professionals, career changers, college students, recent college graduates, advanced high school students and recent high school graduates looking to start their path toward cybersecurity leadership by taking the Certified in Cybersecurity entry-level exam.

There are no prerequisites to take the training or the exam. It is recommended that candidates have basic Information Technology (IT) knowledge. No work experience in cybersecurity or formal education diploma/degree is required."
https://www.coursera.org/learn/21st-century-energy-transition,21st Century Energy Transition: how do we make it work?,Physical Science And Engineering,"Understand the complexity of systems supplying energy to people around the  world
Understand the complexity of systems supplying energy to people around the  world
Evaluate the merits and the costs associated with each major available energy  source
Evaluate the merits and the costs associated with each major available energy  source
Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources
Explore competing viewpoints of how quickly, practically and effectively global  societies can transition to alternative energy sources","Electric Power Systems, Environmental Policy, Transportation, Supply Chain, and Logistics, Innovation, Energy and Utilities, Oil and Gas, Sustainable Technologies, Sustainable Development, Supply Chain Management, Emerging Technologies, Environment, Climate Change Mitigation",English,['brad-hayes'],"NOTE: “21 st Century Energy Transition – How do We Make it Work?” hasbeen updated as of December 2024 to include new highlighting new ideas,
technologies and important developments since its launch in October 2022.

Affordable, abundant and reliable energy is fundamental to human well-being and prosperity. For the past 150 years, more and more people have gained access to energy, primarily in the form of fossil fuels – coal, petroleum and natural gas. But now, even while half of humanity cannot access adequate energy supplies, we are beginning a profound transition to more diverse energy sources. Climate change, environmental sustainability, and energy poverty are all important – and sometimes conflicting – drivers as we strive to supply more energy to more people with fewer negative impacts on Earth’s environments. 

In this course from the University of Alberta and Canadian Society for Evolving Energy, you will join us to learn about the many energy sources available, and where technology is providing exciting new solutions to energy and environmental challenges. Find out what roles energy storage must play to support the transition, and discuss how we can optimize transition processes. Examine competing viewpoints (“realities”) to enable energy transition, focusing on the practical challenges in bringing about change on a global basis. Finally, you will bring all these issues together to examine how the energy transition process is progressing and what we must do to create pathways to achieve our goals."
https://www.coursera.org/learn/360-vr-video-production,VR and 360 Video Production,Arts And Humanities,,"Virtual Reality, Videography, Media Production, Post-Production, Augmented and Virtual Reality (AR/VR), Photo/Video Production and Technology, Editing, Virtual Environment, Video Production",English,['googlearvr'],"Welcome to the Google AR & VR Virtual Reality and 360 video production course! Our mission is to give you the skills you need to get started with your first VR project.This course will introduce you to Virtual Reality and 360 video production, guiding you through a step-by-step process to create VR content. To begin, we recommend taking a few minutes to explore the course site and review the material. 

Best of luck as you get started - we hope you enjoy the course, and can't wait to see what you'll create!"
https://www.coursera.org/learn/3d-anatomy-physiology-foundations-interactive-course,Foundations of Human Anatomy and Physiology,Health,"Learners will understand how body structure supports function in anatomy and physiology
Learners will understand how body structure supports function in anatomy and physiology
Learners will explore how cells, tissues, and organs work together to maintain homeostasis.
Learners will explore how cells, tissues, and organs work together to maintain homeostasis.","Vital Signs, Basic Patient Care, Anatomy, Health Assessment, Physiology, Respiration, Health Systems, Medical Terminology, Cell Biology, Biology, Human Musculoskeletal System",English,"['~167016541', '~166856472', '~166856442', '~166856230']","This course provides a foundational understanding of human anatomy and physiology, exploring how body structures and systems work together to maintain health.Learners will develop essential anatomical knowledge, understand the relationship between structure and function, and explore homeostasis. 

Ideal for aspiring healthcare professionals, students, and anyone curious about the human body, this course uses engaging 3D models, case studies, and interactive exercises to bring concepts to life."
https://www.coursera.org/learn/3d-cad-application,3D CAD Application,Physical Science And Engineering,,"Computer-Aided Design, Construction, 3D Assets, Architectural Drawing, 3D Modeling, SketchUp (3D Modeling Software), Architecture and Construction, Building Design",English,['sckang'],"Do you want to obtain all the necessary skills of a 3D modeler? Do you want to know how an engineer develop a building model in details? The “3D CAD Application” course, the second course of the new specialization, is coming!After finishing this course: You will be able to know how to use the SketchUp’s advanced functions by creating 3D building models. You will be able to develop a building as an engineer.
Let’s start the learning journey!"
https://www.coursera.org/learn/3d-cad-fundamental,3D CAD Fundamental,Physical Science And Engineering,,"Software Installation, SketchUp (3D Modeling Software), Visualization (Computer Graphics), 3D Assets, 3D Modeling",English,['sckang'],"There have many three-dimensional shape of the object in your brain that are wanted to share, but do not know how to express? How to ""sketch"" the three-dimensional image in your mind? 3D modeling technology can help us construct the most intuitive and understandable three-dimensional model. The use of floor plan interpret the three-dimensional object process－the most direct and effective expression of our ideas. We have designed many paradigms so that people can quickly understand the logic of using 3D CAD software Sketchup and drawing skills, from introduction to advanced, and introduce SketchUp 3D modeling technologies. After completing ""3D CAD Fundamental"", it is no longer difficult to draw ideas that are beyond imagination with 3D modeling technology! The goal of this course is to construct a three-dimensional model, with the computer as the main teaching material, to enrich the fun paradigm and the complete drawing process. Step-by-step teach you how to use Sketchup's 3D modeling software technology. With the completion of ""3D CAD Fundamental"", you will be able to realize the 3D objects that exist in the imagination through 3D modeling!"
https://www.coursera.org/learn/3d-cardiovascular-anatomy-physiology-interactive-course,The Heart of the Matter: Exploring the Cardiovascular System,Health,"Learners will explore the structure and function of the heart and blood vessels.
Learners will explore the structure and function of the heart and blood vessels.
Learners will trace blood flow through the body and its role in circulation, the cardiac cycle and blood pressure regulation.
Learners will trace blood flow through the body and its role in circulation, the cardiac cycle and blood pressure regulation.
Learners will apply cardiovascular knowledge to case studies, such as hypertension and heart failure.
Learners will apply cardiovascular knowledge to case studies, such as hypertension and heart failure.","Diagnostic Tests, Vital Signs, Cardiac Dysrhythmia, Physiology, Cardiology, Hemodynamics, Respiration, Anatomy, Hematology, Patient Treatment, Capillary, Medical Terminology",English,"['~167016541', '~166856472', '~166856442', '~166856230']","This course offers an introductory yet in-depth exploration of the cardiovascular system, covering the heart, blood vessels, and circulation.Learners will understand how blood flow supports oxygen delivery and immune function while examining key concepts such as the cardiac cycle, blood pressure, and blood composition. Additionally, they will explore how cardiovascular diseases affect health. 

Designed for healthcare students, medical professionals, and individuals seeking to expand their knowledge of cardiovascular anatomy and physiology, this course features dynamic 3D models and real-world case studies."
https://www.coursera.org/learn/3d-character-design-workshop-with-nomad-sculpt,3D Character Design Workshop with Nomad Sculpt,Arts And Humanities,,"Color Theory, Animation and Game Design, 3D Modeling, Visualization (Computer Graphics), Creative Design, Computer Graphics, 3D Assets",English,['~186501695'],"I'm Dave Reed and welcome to my 3D Character Workshop in Nomad Sculpt! The ability to design characters in 3D has been a game-changer for me and has been a joy to learn with Nomad Sculpt. I’ve been able to export my 3D Sculpts to Blender for more in-depth work, and also create physical art that I can hold in my hands with resin 3D printing. This type of character lends itself well to 3D printing, so it's perfect if you're looking to sculpt things you can print!This class is geared towards those of you who are familiar with the basics of Nomad Sculpt, and are interested in getting better at 3D character design. This little character isn’t too complex, but still has a lot of elements working together to be a good challenge if you’re looking to improve your skills.

I’ll go over each step I'm making and why I'm making it.. There are also multiple ways to achieve things when working in 3D, so as you develop your skills, you will find new and creative ways to get the results you want with your own workflow.

Here is what we will go over in class: 
* Opening and preparing our scene for sculpting.
* Importing our reference image
* Blocking out our character using simple shapes or “primitives”
* Tailoring the shapes to exactly what we need
* Adding details like teeth, tongue, and fingers
* Simple scene lighting and painting techniques 
* Post Processing to make our art  ready for render, or to send to other applications  

If you have been working in Nomad for a while, you’ll still discover new things to add to your arsenal from my workflow. I continue to learn new aspects of the program and more efficient ways to sculpt with each and every project. 

So join me, I look forward to seeing you in class!

Instructor bio:
Dave Reed is a 2D and 3D illustrator and digital creator based in Brooklyn, New York. He holds a BFA in Illustration from the School of Visual Arts in NYC, where he developed his craft in both traditional and digital mediums. With a passion for visual storytelling and design, Dave brings a creative and practical approach to his teaching, helping learners build the skills and confidence to create their own illustrations and digital art."
https://www.coursera.org/learn/3d-game-prop-production,Current Gen 3D Game Prop Production,Arts And Humanities,"Model accurate block-in, mid poly meshes
Model accurate block-in, mid poly meshes
Create high poly models with a real world level of accuracy
Create high poly models with a real world level of accuracy
Create game-ready low poly meshes for a real-time environment
Create game-ready low poly meshes for a real-time environment
Texture and render models to give them the appearance of photo-realism
Texture and render models to give them the appearance of photo-realism","Computer Graphics, Graphical Tools, Computer Graphic Techniques, 3D Assets, 3D Modeling, Design Research, Baking, Prototyping",English,['andrewdennis'],"In this course you will learn to create a photo-real game prop using modern game art production techniques. You will gather reference, generate a base model, create a high polygon model, bake details onto a low poly model, and then texture and present a final portfolio piece. This course is aimed at students who have some knowledge in 3d and game art and would like to learn more advanced techniques employed in the creation of modern game assets. We will be using Maya, Zbrush, Marmoset, and Substance Painter extensively throughout the course. When you are finished you will have your own model based of of a real-world prop suitable for use in modern game engines."
